Fig,characters,ext,citation
1,female dorsal view,,
2,female,,
3,P1,,
4,P1,,
5,P3,,
6,P3,,
7,P1,,
8,female dosal and lateral views,,
9,P2 endopod segment 1,,
10,female,,
11,P1,,
12,P3 exopod segment 3 with 2 outer spines,,
13,P3,,
14,"P3 Re3, terminal spine with toothed outer margin",,
15,"P3, terminal spine with blade-like outer margin",,
16,"male P5, posterior view",,
17,female P5,,
18,male P5,,
19,male P5,1,"Sars 1924. pl. 111, fig. 5"
20,female P5,,
21,male P5,,
22,female P5,,
23,female P5,,
24,male P5,,
25,female P5,,
26,male P5,,
27,male P5,,
28,P2,,
29,male P5,,
30,female P1,,
31,male P5,,
32,female P2,,
33,lateral view showing prehensile right antennule,,
34,female P5,,
35,female P5,,
36,female P5,,
37,female P5,,
38,female dorsal view,,
39,female P5,1,Tanaka 1964. fig. 218h
40,female P5,,
41,female P5,,
42,"female, dorsal view showing one seta of left caudal ramus much longer than any other caudal seta",,
43,female maxillule,,
44,female maxilla,,
45,maxillule,,
46,maxilla,,
47,maxillule,1,Park 2000. fig. 13e
48,male P5,1,Park 2000. fig. 25b
49,female P5,1,Bradford-Grieve 1999. fig. 57B
50,maxilla,,
51,maxilla,1,Park 2000. fig. 25b
52,maxilla,1,Park 2000. fig. 57d
53,,,
54,rostrum,,
55,rostrum,1,Ohtsuka et al. 1999: fig. 4c
56,maxillule,,
57,mandible,,
58,mandible,,
59,rostrum,1,Tanaka 1964. fig. 215d
60,maxilliped,,
61,mandible,1,Tanaka 1964. fig. 216g
62,mandible,,
63,P1,1,Ohtsuka & Boxshall 2004. fig. 4A
64,female P5,,
65,female P5,,
66,male P5,,
67,male P5,,
68,male P5,,
69,male P5,,
70,male P5,1,Ohtsuka 1984. fig. 3(5)
71,male P5,1,Park 2000. fig. 25b
72,male P5,1,Park 2000. fig. 32e
73,male P5,1,Park 2000. fig. 36f
74,male P5,1,Park 2000. fig. 12d
75,maxilla,,
76,maxilla,,
77,maxilla with enlargement of special shields,,
78,male P5,1,"Sars 1924. pl. 109, fig. 17"
79,male P5,1,"Grice 1962. pl. 25, fig. 11"
80,maxilliped,1,"Wolfenden 1902. pl. 3, fig. 10"
81,male P5,1,Tanaka 1964. fig. 211k
82,"male P5, posterior view",,
83,"male P5, posterior view",,
84,"male P5, posterior view",1,Bradford-Grieve 1999. fig. 14C
85,"male P5, posterior view",,
86,female P4,1,Vervoort 1957. fig. 105c
87,female P5,,
88,"male P5, posterior view",,
89,male P5,1,Tanaka 1957. fig. 36j
90,"male P5, posterior view",,
91,male P5,,
92,"male P5, posterior view",,
93,"feamle, dorsal habitus",,
94,antenna,,
95,mandible,,
96,maxillule,,
97,mandible,,
98,maxillule,,
99,mandible,1,"Giesbrecht 1893. pl. 11, fig. 20"
100,male P5,,
101,mandible,,
102,male P5,1,Vervoort 1963. fig. 3g
103,female P4,,
104,female P5,1,"Chang & Zhang 1974. pl. 5, fig. 59"
